URL,ACCOUNT,VIEWS,LIKES,COMMENTS,SHARES,SAVES,PLATTFORM,HEADLINE
https://www.tiktok.com/@fuat_marta/video/7263119155086363936,Fuat & Marta,1.000.000,30.900,819,5.060,6.417,,Amazon's Machtmissbrauch!
https://www.tiktok.com/@fuat_marta/video/7242709115393281286,Fuat & Marta,1.000.000,52.400,217,4.624,13.700,,DAS ist der Weg zum finanziellen Erfolg!
https://www.facebook.com/reel/1486123812024700,Fuat & Marta,1.000.000,7.764,200,1.721,,,Du wirst NIE wieder deinem Bänker vertrauen
https://www.instagram.com/fuat_marta/reel/DAliguRKUMp/,Fuat & Marta,1.000.000,15.400,209,,,,Gründe keine GmbH!
https://www.instagram.com/fuat_marta/reel/C-VWTqKMjq4/,Fuat & Marta,992.000,44.700,298,,,,So verdient ein 15-jähriger 120k!
https://www.tiktok.com/@fuat_marta/video/7279075610989792545,Fuat & Marta,989.200,50.300,954,999,8.728,,Was du NICHT wissen solltest!
https://www.instagram.com/greator/reel/C7J7gSVIovm/,Greator,935.000,25.800,193,,,,So wirst du der Beliebteste im Raum!
https://www.instagram.com/greator/reel/DCWKGWPNmO4/,Greator,922.000,26.500,525,,,,Der Einkaufs-Fehler den jeder macht!
https://www.tiktok.com/@mrtiefschlaf/video/7307678702219840800,Chris Surel,896.000,19.100,56,,3.306,,Wochenend-Ausschlafen schädlich?
https://www.instagram.com/greator/reel/DAG7Jb5MhMI/,Greator,852.000,15.300,112,,,,Der beste Verhandlugstrick!
,,,,,,,,Arbeite NIEMALS für Geld (Hier ist warum)
,,,,,,,,Warum positives Denken dich unglücklich macht
,,,,,,,,"Hör auf, deine Eltern zu lieben"
,,,,,,,,Wie du in 3 Tagen dein Gehalt verdoppelst
,,,,,,,,Die 4-Stunden-Regel der Millionäre
,,,,,,,,Er aß nur DAS und wurde 100 Jahre alt
,,,,,,,,Warum dich niemand respektiert
,,,,,,,,Du hast im Lotto gewonnen (Unbewusst)
,,,,,,,,Armstrong: Warum ihn der Mond zerstörte
,,,,,,,,Das ist die BESTE Erklärung überhaupt!
,,,,,,,,Diese 59 Sekunden könnten dein Leben verändern
,,,,,,,,Zirbeldrüse aktiveren (danach gibt es kein Zurück)
,,,,,,,,Manifestation SOFORT meistern
,,,,,,,,Das Drama hinter diesem Foto
https://www.tiktok.com/@fuat_marta/video/7253841672793050374,Fuat & Marta,841.000,33.400,496,3.833,6.777,,Was du über Geld lernen musst!
https://www.tiktok.com/@mrtiefschlaf/video/7263891978025258272,Chris Surel,833.000,59.800,1.432,,10.500,,SCHOCKIEREND! Das wusstest du nicht über Alkohol
https://www.tiktok.com/@mrtiefschlaf/video/7273138236573191456,Chris Surel,744.900,35.300,40,,3.289,,Die Wahrheit über deinen Alkoholkonsum!
https://www.facebook.com/reel/311940584674649,Greator,744.000,8.675,264,1.682,,,Warum du keinen Bock hast zu arbeiten..
https://www.tiktok.com/@fuat_marta/video/7262763276306631968,Fuat & Marta,818.000,48.800,337,3.796,9.561,,Die Lüge vom 5AM Club
https://www.facebook.com/reel/719426906311214,Meet Your Master,703.000,9.700,82,324,,,Geheimtipp aus Anke Engelke's Trickkiste
https://youtube.com/shorts/HetXmX5Pruc,Robert Marc Lehmann,686.120,30.656,824,,,,Gehe nicht in den Zoo!
https://youtube.com/shorts/Vw-jOv3WzGg,Robert Marc Lehmann,684.330,23.902,418,,,,Dieser Fisch ist teuerer als Gold
https://www.tiktok.com/@rafaelbettencourt2/video/7167403967272520966,Rafael Bettencourt,682.200,75.400,3.190,4.183,13.000,,Siehst du Doppelzahlen?
https://www.facebook.com/reel/685508660104336,Fuat & Marta,678.000,3.114,56,134,,,9€ für Wasser!?
https://youtube.com/shorts/Y75Ajyb3Qio,Meet Your Master,672.137,7.831,136,,,,Der geniale Schachzug von Stieve Wonder!
https://www.tiktok.com/@fuat_marta/video/7341804443316260128,Fuat & Marta,670.000,37.500,524,3.146,9.213,,Kinder sollten nicht studieren? Bleib bis zum Ende
